um.driver: unified_memory
um.executed_before: no
um.payload_mib: 256
um.payload_bytes: 268435456
um.rounds: 8
um.mode: resident
um.contention: 0
um.hold_bytes: 0
um.policy.default_route: copy_staged
um.policy.enable_level: trainer
um.policy.evidence.copy_staged: none
um.policy.evidence.copy_direct: none
um.policy.evidence.map_write: none
um.policy.evidence.host_direct: none
um.policy.evidence.wrapped_host_buffer: none
um.policy.role.bins.host_direct: source_not_device_visible
um.policy.role.grad.host_direct: no_evidence
um.policy.role.hess.host_direct: no_evidence
um.policy.role.hist_out.host_direct: device_written_atomics
um.policy.role.row_seed.host_direct: no_evidence
um.policy.role.valid_bins.host_direct: source_not_device_visible
um.policy.role.predict_out.host_direct: no_evidence
um.policy.role.batch_bins.host_direct: no_evidence
um.marker.begin_ns: 434117080499000
um.accelerator: present
um.device.multiprocessors: 10
um.device.max_threads_per_block: 1024
um.copy_staged.status: ok
um.copy_staged.comparable: 1
um.copy_staged.input_route: copy_staged
um.copy_staged.out_route: copy
um.copy_staged.mode: resident
um.copy_staged.payload_bytes: 268435456
um.copy_staged.alloc_ns: 190000
um.copy_staged.round0_write_ns: 82751000
um.copy_staged.round0_publish_ns: 687000
um.copy_staged.round0_total_ns: 117965000
um.copy_staged.write_ns: 0
um.copy_staged.publish_ns: 0
um.copy_staged.kernel_ns: 51000
um.copy_staged.sync_ns: 5516000
um.copy_staged.readback_ns: 254166
um.copy_staged.contend_ns: 0
um.copy_staged.round_mean_ns: 5821166
um.copy_staged.round_min_ns: 3591000
um.copy_staged.host_alloc_bytes: 268435461
um.copy_staged.device_alloc_bytes: 268435460
um.copy_staged.allocated_bytes: 536870921
um.copy_staged.copy_bytes_issued_total: 536870912
um.copy_staged.enqueues_copy: 1
um.copy_staged.drains_per_round: 2
um.copy_staged.retouch_round: 4
um.copy_staged.retouch_write_ns: 3000
um.copy_staged.retouch_publish_ns: 9000
um.copy_staged.retouch_total_ns: 9976000
um.copy_staged.retouch_over_steady: 1.7137460089610912
um.copy_staged.checksum: -1152133629
um.copy_staged.expected: -1152133629
um.copy_staged.round0_over_steady: 20.264840411697588
um.copy_staged.steady_ns_per_byte: 0.021685533225536346
um.copy_direct.status: ok
um.copy_direct.comparable: 1
um.copy_direct.input_route: copy_direct
um.copy_direct.out_route: copy
um.copy_direct.mode: resident
um.copy_direct.payload_bytes: 268435456
um.copy_direct.alloc_ns: 89497000
um.copy_direct.round0_write_ns: 69735000
um.copy_direct.round0_publish_ns: 33821000
um.copy_direct.round0_total_ns: 120907000
um.copy_direct.write_ns: 0
um.copy_direct.publish_ns: 0
um.copy_direct.kernel_ns: 37000
um.copy_direct.sync_ns: 4572166
um.copy_direct.readback_ns: 276833
um.copy_direct.contend_ns: 0
um.copy_direct.round_mean_ns: 4886000
